Event Level,Category,Question,Answer A,Answer B,Answer C,Answer D,Correct
Middle School,Career Exploration,"What is the primary purpose of a job shadow?","To earn money","To observe a professional in their work environment","To replace the employee","To get a guaranteed job offer",B
Middle School,Career Exploration,"Which document lists your education, work experience, and skills?","Cover Letter","Resume","Reference List","Thank You Note",B
Middle School,Career Exploration,"A specific career path or group of similar jobs is called a:","Job Cluster","Career Cluster","Work Group","Profession Set",B
Middle School,Career Exploration,"What is the term for learning a trade by working under a skilled professional?","Internship","Apprenticeship","Volunteering","Shadowing",B
Middle School,Career Exploration,"Which of the following is a 'Soft Skill'?","Typing speed","Computer programming","Communication","Operating machinery",C
Middle School,Digital Citizenship,"What is a 'Digital Footprint'?","The weight of your laptop","The trail of data you create while using the internet","The physical size of a computer mouse","A biometric security feature",B
Middle School,Digital Citizenship,"Which practice helps protect against phishing attacks?","Clicking every link in emails","Verifying the sender's email address","Sharing passwords with friends","Disabling antivirus software",B
Middle School,Digital Citizenship,"What does 'Copyright' protect?","Inventions","Brand names","Original works of authorship","Scientific discoveries",C
Middle School,Digital Citizenship,"Cyberbullying includes:","Harassing someone online","Posting mean comments","Spreading rumors on social media","All of the above",D
Middle School,Digital Citizenship,"A strong password should contain:","Your name and birth year","123456","A mix of letters numbers and symbols","The word password",C
Middle School,Exploring Accounting & Finance,"What is the basic accounting equation?","Assets = Liabilities + Owner's Equity","Income = Expenses + Profit","Assets = Liabilities - Debt","Equity = Cash + Assets",A
Middle School,Exploring Accounting & Finance,"Which concept refers to the rise in the general level of prices?","Deflation","Inflation","Interest","Recession",B
Middle School,Exploring Accounting & Finance,"Money paid for the use of borrowed money is called:","Principal","Dividend","Interest","Equity",C
Middle School,Exploring Accounting & Finance,"A plan for spending and saving money is a:","Budget","Balance Sheet","Ledger","Audit",A
Middle School,Exploring Accounting & Finance,"Liquid assets are:","Assets that are frozen","Assets easily converted to cash","Long-term investments","Real estate properties",B
Middle School,Exploring Agribusiness,"What is the primary sector of the economy for agribusiness?","Manufacturing","Agriculture","Service","Technology",B
Middle School,Exploring Agribusiness,"Which term refers to the cultivation of aquatic animals/plants for food?","Hydroponics","Aquaculture","Agriculture","Horticulture",B
Middle School,Exploring Agribusiness,"Sustainable agriculture aims to:","Deplete natural resources","Maximize short-term profit only","Protect the environment for future generations","Avoid using technology",C
Middle School,Exploring Agribusiness,"A cooperative (co-op) is owned by:","The government","A single wealthy investor","Its members","Foreign competitors",C
Middle School,Exploring Agribusiness,"The detailed coordination of a complex operation involving many people, facilities, or supplies is:","Logistics","Marketing","Accounting","Sales",A
Middle School,Exploring Business Communication,"Which is a form of non-verbal communication?","Email","Body language","Phone call","Memo",B
Middle School,Exploring Business Communication,"In a business letter, the salutation is the:","Closing","Greeting","Signature","Body",B
Middle School,Exploring Business Communication,"Active listening involves:","Interrupting the speaker","Ignoring the speaker","Paying full attention and reflecting understanding","Planning your response while they talk",C
Middle School,Exploring Business Communication,"What is the most appropriate closing for a formal business letter?","Later,","Sincerely,","Yours,","Cheers,",B
Middle School,Exploring Business Communication,"Tone of voice in writing is conveyed through:","Font size","Word choice and sentence structure","Paper color","Ink color",B
Middle School,Exploring Business Concepts,"A business owned by one person is a:","Partnership","Corporation","Sole Proprietorship","Franchise",C
Middle School,Exploring Business Concepts,"What is 'Profit'?","Total Revenue - Total Expenses","Total Assets + Total Liabilities","Total Sales","Money borrowed",A
Middle School,Exploring Business Concepts,"The process of creating a new business is called:","Management","Entrepreneurship","Marketing","Accounting",B
Middle School,Exploring Business Concepts,"Which is a 'Good' (vs. Service)?","Haircut","Car repair","Computer","Legal advice",C
Middle School,Exploring Business Concepts,"Supply and Demand determines:","Taxes","Price in a market economy","Government regulation","Employee salaries",B
Middle School,Exploring Computer Science,"What does CPU stand for?","Central Processing Unit","Computer Personal Unit","Central Program Utility","Control Processing User",A
Middle School,Exploring Computer Science,"Which is an example of an Output device?","Keyboard","Mouse","Monitor","Microphone",C
Middle School,Exploring Computer Science,"The binary number system uses which digits?","1-10","0 and 1","0-9","1 and 2",B
Middle School,Exploring Computer Science,"What is 'Malware'?","Hardware malfunction","Malicious software","A secure network","An operating system",B
